b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.35904255319148937,0.5,0.17952127659574468,0.26418786692759294,188.0
Dados por classe
 , ,1.0,0.35904255319148937,0.5283757338551859,376.0
 , ,0.0,0.0,0.0,0.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.2,0.375,0.51244813278008294,0.68243243243243246,0.2916182306489758,188.0
Dados por classe
 , ,1.0,0.36486486486486486,0.5346534653465346,370.0
 , ,0.024896265560165973,1.0,0.048582995951417005,6.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.3,0.47340425531914893,0.58921161825726143,0.70270270270270274,0.43986998916576381,188.0
Dados por classe
 , ,1.0,0.40540540540540543,0.5769230769230769,333.0
 , ,0.17842323651452283,1.0,0.3028169014084507,43.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.4,0.63031914893617025,0.70998924235438754,0.74151583710407243,0.62778905387601036,188.0
Dados por classe
 , ,0.9925925925925926,0.49264705882352944,0.6584766584766585,272.0
 , ,0.42738589211618255,0.9903846153846154,0.5971014492753622,104.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.5,0.7686170212765957,0.81461502996772706,0.79618055555555556,0.76758957307585729,188.0
Dados por classe
 , ,0.9777777777777777,0.6111111111111112,0.7521367521367521,216.0
 , ,0.6514522821576764,0.98125,0.7830423940149625,160.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.6,0.84042553191489366,0.87063162747810052,0.84118495883201772,0.83731394946348214,188.0
Dados por classe
 , ,0.9777777777777777,0.6984126984126984,0.8148148148148148,189.0
 , ,0.7634854771784232,0.983957219251337,0.8598130841121495,187.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.7,0.87765957446808507,0.89804825572460423,0.86876050001423732,0.8735228735228735,188.0
Dados por classe
 , ,0.9703703703703703,0.7572254335260116,0.8506493506493507,173.0
 , ,0.8257261410788381,0.9802955665024631,0.8963963963963963,203.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.8,0.8936170212765957,0.90886737359766401,0.88209105270716637,0.88908554572271381,188.0
Dados por classe
 , ,0.9629629629629629,0.7878787878787878,0.8666666666666665,165.0
 , ,0.8547717842323651,0.976303317535545,0.911504424778761,211.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.9,0.91755319148936165,0.92753957276778853,0.90530303030303028,0.91311283553607503,188.0
Dados por classe
 , ,0.9629629629629629,0.8333333333333334,0.8934707903780069,156.0
 , ,0.8921161825726142,0.9772727272727273,0.9327548806941431,220.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 1.0,0.92021276595744683,0.92635623175042259,0.90828550404709341,0.91536360635073089,188.0
Dados por classe
 , ,0.9481481481481482,0.847682119205298,0.8951048951048952,151.0
 , ,0.9045643153526971,0.9688888888888889,0.9356223175965667,225.0
