iris,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.2,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.3,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 0.4,0.93939393939393945,0.93541666666666667,0.93541666666666667,0.93541666666666667,33.0
sigma: 0.5,0.93939393939393945,0.93472222222222223,0.93697478991596628,0.93521421107628011,33.0
sigma: 0.6,0.9494949494949495,0.94513888888888886,0.9495590828924162,0.94588461202758145,33.0
sigma: 0.7,0.9494949494949495,0.94513888888888886,0.9495590828924162,0.94588461202758145,33.0
sigma: 0.8,0.96969696969696972,0.96736111111111123,0.96830372692441669,0.96766623207301183,33.0
sigma: 0.9,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
sigma: 1.0,0.95959595959595956,0.95694444444444449,0.95694444444444449,0.95694444444444449,33.0
b_cancer,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.35904255319148937,0.5,0.17952127659574468,0.26418786692759294,188.0
sigma: 0.2,0.375,0.51244813278008294,0.68243243243243246,0.2916182306489758,188.0
sigma: 0.3,0.47340425531914893,0.58921161825726143,0.70270270270270274,0.43986998916576381,188.0
sigma: 0.4,0.63031914893617025,0.70998924235438754,0.74151583710407243,0.62778905387601036,188.0
sigma: 0.5,0.7686170212765957,0.81461502996772706,0.79618055555555556,0.76758957307585729,188.0
sigma: 0.6,0.84042553191489366,0.87063162747810052,0.84118495883201772,0.83731394946348214,188.0
sigma: 0.7,0.87765957446808507,0.89804825572460423,0.86876050001423732,0.8735228735228735,188.0
sigma: 0.8,0.8936170212765957,0.90886737359766401,0.88209105270716637,0.88908554572271381,188.0
sigma: 0.9,0.91755319148936165,0.92753957276778853,0.90530303030303028,0.91311283553607503,188.0
sigma: 1.0,0.92021276595744683,0.92635623175042259,0.90828550404709341,0.91536360635073089,188.0
digits,accuracy,Precision,Recall,F-Score,Support
sigma: 0.1,0.090143218197135638,0.10000000000000001,0.0090143218197135631,0.01653786707882535,118.7
sigma: 0.2,0.090985678180286439,0.10084745762711864,0.10902192242833053,0.01823132965483177,118.7
sigma: 0.3,0.11625947767481044,0.12631556794143736,0.80925605536332179,0.06435936379130909,118.7
sigma: 0.4,0.26705981465880368,0.27458450598793405,0.91095189355168882,0.30214520799047456,118.7
sigma: 0.5,0.59898904802021902,0.60103295589849015,0.91835334476843911,0.66278948783886471,118.7
sigma: 0.6,0.8618365627632687,0.86105703863755545,0.93562884984005668,0.87725957866133819,118.7
sigma: 0.7,0.94860994102780116,0.94876626282069521,0.95487829400866675,0.94893935435112142,118.7
sigma: 0.8,0.97556866048862678,0.97573594646713002,0.97513667958017147,0.97527114374333923,118.7
sigma: 0.9,0.97809604043807918,0.97820460421101707,0.97793141891051028,0.97794800663536297,118.7
sigma: 1.0,0.97893850042122998,0.97903793754435031,0.9788776672859687,0.97883491914912979,118.7
